,id,name,city_name,city_id,state_name,state_id,country_name,latitude,longitude,latitude_r1,latitude_r2,longitude_r1,longitude_r2
0,TVhYQXJlbmFzIDE5VFV4QlEwTlBVM1JoWlhOd,Arenas 19,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.0058481,-56.7958564,-37.0458481,-36.9658481,-56.8358564,-56.7558564
1,TVhYQm9zcXVlVFV4QlEwTlBVM1JoWlhOdA,Bosque,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.0024844,-56.8049249,-37.0424844,-36.9624844,-56.8449249,-56.764924900000004
2,TVhYRGVwb3J0aXZvIDFUVXhCUTBOUFUzUmhaW,Deportivo 1,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.0096776,-56.802687,-37.0496776,-36.969677600000004,-56.842687,-56.762687
3,TVhYRGVwb3J0aXZvIDJUVXhCUTBOUFUzUmhaW,Deportivo 2,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.0106714,-56.7952197,-37.0506714,-36.9706714,-56.835219699999996,-56.7552197
4,TVhYRWN1ZXN0cmVUVXhCUTBOUFUzUmhaWE50,Ecuestre,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.0226341,-56.819143,-37.0626341,-36.9826341,-56.859142999999996,-56.779143
5,TVhYR29sZiAxVFV4QlEwTlBVM1JoWlhOdA,Golf 1,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.0153646,-56.8064169,-37.0553646,-36.9753646,-56.8464169,-56.7664169
6,TVhYR29sZiAyVFV4QlEwTlBVM1JoWlhOdA,Golf 2,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.0224467,-56.81693,-37.0624467,-36.982446700000004,-56.85693,-56.77693
7,TVhYTWFyaXRpbW8gSVRVeEJRME5QVTNSaFpYT,Maritimo I,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.008528,-56.7768267,-37.048528,-36.968528,-56.8168267,-56.7368267
8,TVhYTWFyaXRpbW8gSUlUVXhCUTBOUFUzUmhaW,Maritimo II,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.018397,-56.7915997,-37.058397,-36.978397,-56.8315997,-56.7515997
9,TVhYUmVzaWRlbmNpYWwgMVRVeEJRME5QVTNSa,Residencial 1,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.0199797,-56.8045704,-37.0599797,-36.9799797,-56.8445704,-56.764570400000004
10,TVhYUmVzaWRlbmNpYWwgMlRVeEJRME5QVTNSa,Residencial 2,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.0147706,-56.8028538,-37.0547706,-36.9747706,-56.8428538,-56.7628538
11,TVhYU2VuZGVyb3MgMVRVeEJRME5QVTNSaFpYT,Senderos 1,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.0106714,-56.7952197,-37.0506714,-36.9706714,-56.835219699999996,-56.7552197
12,TVhYU2VuZGVyb3MgMlRVeEJRME5QVTNSaFpYT,Senderos 2,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.0106714,-56.7952197,-37.0506714,-36.9706714,-56.835219699999996,-56.7552197
13,TVhYU2VuZGVyb3MgM1RVeEJRME5QVTNSaFpYT,Senderos 3,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.00007,-56.7986897,-37.04007,-36.96007,-56.838689699999996,-56.7586897
14,TVhYU2VuZGVyb3MgNFRVeEJRME5QVTNSaFpYT,Senderos 4,Costa Esmeralda,TUxBQ0NPU3RhZXNt,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-37.0070716,-56.8036856,-37.0470716,-36.967071600000004,-56.8436856,-56.7636856
15,TVhYRWwgUGluYXJUVXhCUTB4QldqUTRZVFF6,El Pinar,La Lucila del Mar,TUxBQ0xBWjQ4YTQz,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-36.6501368,-56.6886595,-36.6901368,-36.6101368,-56.7286595,-56.6486595
16,TUxBQlBFUjczOTYxOA,Bosques de Peralta Ramos,Mar del Plata,TUxBQ01BUjU2MGMw,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-38.084213,-57.567432,-38.124213,-38.044213,-57.607431999999996,-57.527432
17,TUxBQkJSSTQyNjQxMg,Bristol,Mar del Plata,TUxBQ01BUjU2MGMw,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-38.001747,-57.542686,-38.041747,-37.961747,-57.582686,-57.502686000000004
18,TUxBQkNFTjI4MjE0OA,Centro,Mar del Plata,TUxBQ01BUjU2MGMw,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-38.098362,-57.563972,-38.138362,-38.058362,-57.603972,-57.523972
19,TVhYQ2hhdXZpblRVeEJRMDFCVWpVMk1HTXc,Chauvin,Mar del Plata,TUxBQ01BUjU2MGMw,Bs.As. Costa Atlántica,TUxBUENPU2ExMmFkMw,Argentina,-38.0216333,-57.5670609,-38.0616333,-37.9816333,-57.6070609,-57.5270609
